match_id,competition_id,season_id
22912,16,4
18245,16,1
18244,16,2
18243,16,27
18242,16,26
18241,16,25
18240,16,24
18237,16,23
18236,16,22
18235,16,21
3750201,16,41
3750200,16,39
2302764,16,37
3752619,16,44
3775648,37,90
3775609,37,90
3775633,37,90
3775570,37,90
3775581,37,90
3775579,37,90
3775544,37,90
3775622,37,90
3775553,37,90
3775584,37,90
3775618,37,90
3775641,37,90
3775636,37,90
3775653,37,90
3775654,37,90
3775643,37,90
3764237,37,90
3775594,37,90
3775560,37,90
3775624,37,90
3764240,37,90
3764233,37,90
3775585,37,90
3775593,37,90
3775602,37,90
3775620,37,90
3764232,37,90
3775559,37,90
3775606,37,90
3775567,37,90
3775638,37,90
3775607,37,90
3764230,37,90
3764241,37,90
3764235,37,90
3764239,37,90
3764236,37,90
3764231,37,90
3764234,37,90
3775543,37,90
3775551,37,90
3775540,37,90
3775550,37,90
3775545,37,90
3775556,37,90
3775575,37,90
3775562,37,90
3775561,37,90
3775582,37,90
3775558,37,90
3775552,37,90
3775557,37,90
3775564,37,90
3775569,37,90
3775548,37,90
3775568,37,90
3775563,37,90
3775555,37,90
3775549,37,90
3775572,37,90
3775577,37,90
3775541,37,90
3775588,37,90
3775586,37,90
3775592,37,90
3775580,37,90
3775591,37,90
3775590,37,90
3775571,37,90
3775589,37,90
3775578,37,90
3775596,37,90
3775576,37,90
3775574,37,90
3775573,37,90
3775597,37,90
3775611,37,90
3775628,37,90
3775612,37,90
3775627,37,90
3775644,37,90
3775637,37,90
3775631,37,90
3775621,37,90
3775615,37,90
3775610,37,90
3775616,37,90
3775632,37,90
3775629,37,90
3775619,37,90
3775600,37,90
3775605,37,90
3775626,37,90
3775614,37,90
3775603,37,90
3775625,37,90
3775613,37,90
3775598,37,90
3775601,37,90
3775630,37,90
3775651,37,90
3775635,37,90
3775650,37,90
3775647,37,90
3775659,37,90
3775657,37,90
3775649,37,90
3775645,37,90
3775639,37,90
3775642,37,90
3775646,37,90
3775655,37,90
3775640,37,90
3775658,37,90
3775623,37,90
3775566,37,90
3775546,37,90
3775547,37,90
3775587,37,90
3775595,37,90
3775604,37,90
3775634,37,90
3775617,37,90
3775565,37,90
3775583,37,90
3775542,37,90
3775608,37,90
3775599,37,90
3775554,37,90
3775652,37,90
3764238,37,90
2275127,37,42
2275136,37,42
2275154,37,42
2275150,37,42
2275146,37,42
2275142,37,42
2275137,37,42
2275153,37,42
2275151,37,42
2275144,37,42
2275088,37,42
2275110,37,42
2275044,37,42
2275105,37,42
2275063,37,42
2275054,37,42
2275072,37,42
2275085,37,42
2275113,37,42
2275099,37,42
2275057,37,42
2275075,37,42
2275077,37,42
2275036,37,42
2275117,37,42
2275092,37,42
2275040,37,42
2275122,37,42
2275045,37,42
2275093,37,42
2275097,37,42
2275084,37,42
2275089,37,42
2275116,37,42
2275104,37,42
2275052,37,42
2275037,37,42
2275027,37,42
2275078,37,42
2275080,37,42
2275098,37,42
2275156,37,42
2275139,37,42
2275070,37,42
2275051,37,42
2275050,37,42
2275029,37,42
2275090,37,42
2275042,37,42
2275157,37,42
2275108,37,42
2275082,37,42
2275138,37,42
2275049,37,42
2275132,37,42
2275061,37,42
2275096,37,42
2275033,37,42
2275107,37,42
2275130,37,42
2275034,37,42
2275026,37,42
2275041,37,42
2275094,37,42
2275106,37,42
2275073,37,42
2275038,37,42
2275131,37,42
2275062,37,42
2275048,37,42
2275121,37,42
2275065,37,42
2275079,37,42
2275103,37,42
2275140,37,42
2275126,37,42
2275102,37,42
2275109,37,42
2275091,37,42
2275030,37,42
2275133,37,42
2275083,37,42
2275120,37,42
2275028,37,42
2275086,37,42
2275056,37,42
2275074,37,42
7298,37,4
19778,37,4
19771,37,4
19736,37,4
19745,37,4
19772,37,4
19730,37,4
19794,37,4
19820,37,4
19766,37,4
19734,37,4
19717,37,4
19718,37,4
19810,37,4
19743,37,4
19740,37,4
19716,37,4
19800,37,4
19739,37,4
19748,37,4
19822,37,4
19785,37,4
19749,37,4
19751,37,4
19764,37,4
19773,37,4
19783,37,4
19747,37,4
19769,37,4
19770,37,4
19757,37,4
19742,37,4
19777,37,4
19758,37,4
19802,37,4
19803,37,4
19746,37,4
19811,37,4
19805,37,4
19752,37,4
19775,37,4
19760,37,4
19787,37,4
19733,37,4
19765,37,4
19792,37,4
19732,37,4
19744,37,4
19799,37,4
19753,37,4
19735,37,4
19720,37,4
19719,37,4
19715,37,4
19723,37,4
19722,37,4
19727,37,4
19731,37,4
19714,37,4
19728,37,4
19726,37,4
19725,37,4
19738,37,4
19759,37,4
19750,37,4
19761,37,4
19762,37,4
19763,37,4
19768,37,4
19767,37,4
19776,37,4
19737,37,4
19790,37,4
19793,37,4
19789,37,4
19791,37,4
19795,37,4
19797,37,4
19780,37,4
19781,37,4
19779,37,4
19798,37,4
19782,37,4
19784,37,4
19786,37,4
19774,37,4
19755,37,4
19806,37,4
19807,37,4
19788,37,4
19808,37,4
19804,37,4
19813,37,4
19816,37,4
19809,37,4
19815,37,4
19817,37,4
19818,37,4
19819,37,4
19821,37,4
19801,37,4
19741,37,4
19756,37,4
19754,37,4
19724,37,4
19814,37,4
19729,37,4
19796,37,4
3857256,43,106
3869151,43,106
3857257,43,106
3857258,43,106
3857288,43,106
3857267,43,106
3869321,43,106
3857287,43,106
3869486,43,106
3869685,43,106
3857260,43,106
3857264,43,106
3857266,43,106
3857289,43,106
3857269,43,106
3857294,43,106
3869254,43,106
3869118,43,106
3869684,43,106
3869519,43,106
3869354,43,106
3869552,43,106
3869420,43,106
3869220,43,106
3869219,43,106
3869253,43,106
3869152,43,106
3869117,43,106
3857270,43,106
3857263,43,106
3857259,43,106
3857295,43,106
3857283,43,106
3857284,43,106
3857282,43,106
3857286,43,106
3857301,43,106
3857300,43,106
3857299,43,106
3857298,43,106
3857297,43,106
3857296,43,106
3857293,43,106
3857292,43,106
3857291,43,106
3857290,43,106
3857285,43,106
3857281,43,106
3857280,43,106
3857279,43,106
3857278,43,106
3857277,43,106
3857276,43,106
3857275,43,106
3857274,43,106
3857273,43,106
3857272,43,106
3857271,43,106
3857268,43,106
3857265,43,106
3857262,43,106
3857261,43,106
3857255,43,106
3857254,43,106
7548,43,3
7578,43,3
7553,43,3
7544,43,3
7536,43,3
7555,43,3
7546,43,3
7539,43,3
7538,43,3
7576,43,3
7565,43,3
7551,43,3
7550,43,3
7537,43,3
7580,43,3
8650,43,3
7581,43,3
7549,43,3
7529,43,3
7534,43,3
7562,43,3
7571,43,3
7569,43,3
7568,43,3
7530,43,3
7558,43,3
7583,43,3
7547,43,3
7535,43,3
7584,43,3
7545,43,3
8649,43,3
8658,43,3
7561,43,3
7531,43,3
7582,43,3
7552,43,3
7532,43,3
7560,43,3
7533,43,3
7564,43,3
7579,43,3
7572,43,3
7577,43,3
7543,43,3
7525,43,3
7542,43,3
7566,43,3
7557,43,3
7554,43,3
7570,43,3
7585,43,3
7586,43,3
8656,43,3
8651,43,3
7567,43,3
7541,43,3
